"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\controllers\authController.js", "JavaScript", 60, 0, 1, 5, 66
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\controllers\cartController.js", "JavaScript", 107, 0, 3, 16, 126
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\controllers\paymentController.js", "JavaScript", 90, 0, 5, 11, 106
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\controllers\productsController.js", "JavaScript", 122, 0, 6, 13, 141
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\lib\cloudinary.js", "JavaScript", 7, 0, 0, 3, 10
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\lib\utils.js", "JavaScript", 114, 0, 1, 2, 117
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\middleware\isAdmin.js", "JavaScript", 10, 0, 0, 1, 11
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\models\OrderModel.js", "JavaScript", 51, 0, 0, 3, 54
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\models\ProductModel.js", "JavaScript", 15, 0, 0, 3, 18
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\models\UserModel.js", "JavaScript", 3, 0, 0, 0, 3
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\package-lock.json", "JSON", 0, 37, 0, 0, 37
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\package.json", "JSON", 0, 2, 0, 0, 2
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\routes\authRouter.js", "JavaScript", 4, 0, 0, 0, 4
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\routes\cartRouter.js", "JavaScript", 16, 0, 0, 2, 18
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\routes\productsRouter.js", "JavaScript", 26, 0, 0, 2, 28
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\server.js", "JavaScript", 2, 0, 0, 0, 2
"Total", "-", 627, 39, 16, 61, 743